"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"439",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Neobacillus","Neobacillus soli",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"472","220688","1"
"440",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Peribacillus","Peribacillus alkalitolerans",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"570","1550385","1"
"441",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Peribacillus","Peribacillus deserti",1,1.37736114133654e-06,0.5,6.84271180142598e-07,"457","673318","1"
"442",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Peribacillus","Peribacillus kribbensis",1,1.37736114133654e-06,0.5,6.84271180142598e-07,"376","356658","1"
"443",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Bhargavaea","Bhargavaea ginsengi",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"374","426757","1"
"444",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Ureibacillus","Ureibacillus massiliensis",1,1.37736114133654e-06,1,1.37771219867712e-06,"459","1211035","1"
"445",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus stepanovicii",1,1.37736114133654e-06,1,1.38175074219379e-06,"455","643214","1"
"446",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus","Salinicoccus carnicancri",1,1.37736114133654e-06,1,1.40320496244219e-06,"451","1235755","1"
"447",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pseudolugdunensis",1,1.37736114133654e-06,1.2,1.7130841276327e-06,"566","425474","1"
"448",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus simiae",1,1.37736114133654e-06,1.3,1.83060269599335e-06,"460","911238","1"
"449",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus warneri",1,1.37736114133654e-06,1.2,1.63530569605951e-06,"344","1292","1"
"450",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus columbae",1,1.37736114133654e-06,1,1.40480518389351e-06,"379","1355","1"
"451",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus eurekensis",1,1.37736114133654e-06,1,1.4131101496436e-06,"484","1159753","1"
"452",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus iners",1,1.37736114133654e-06,1,1.37771220167048e-06,"361","147802","1"
"453",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus intestinalis",1,1.37736114133654e-06,1.3,1.84680786071821e-06,"354","151781","1"
"454",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus apodemi",1,1.37736114133654e-06,0.3,3.72487767836988e-07,"381","307126","1"
"455",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus faecis",1,1.37736114133654e-06,0.3,3.72487767836988e-07,"507","762833","1"
"456",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus murinus",1,1.37736114133654e-06,0.3,3.72487767836988e-07,"365","1622","1"
"457",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus antri",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"357","227943","1"
"458",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus frumenti",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"352","104955","1"
"459",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus panis",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"347","47493","1"
"460",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri",1,1.37736114133654e-06,0.2,3.4442804966928e-07,"390","1598","1"
"461",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis",1,1.37736114133654e-06,1.3,1.76392471627304e-06,"358","28037","1"
"462",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium diolis",1,1.37736114133654e-06,1,1.43621215079622e-06,"355","223919","1"
"463",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Tepidibaculum","Tepidibaculum saccharolyticum",1,1.37736114133654e-06,1,1.37771219867712e-06,"574","2164149","1"
"464",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii",1,1.37736114133654e-06,1,1.37771219867712e-06,"511","39488","1"
"465",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum",1,1.37736114133654e-06,1,1.37771219867712e-06,"389","411459","1"
"466",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira pectinoschiza",1,1.37736114133654e-06,1,1.37771219867712e-06,"509","28052","1"
